timestamps,#packets,#bytes,#unique_IP_sources,#unique_IP_destinations
1551632400,30906262.166667, 1388413435.35,493494.46666667,12614174.783333
1551636000,33026121.966667, 1517757155.7667,471774.56666667,12963161.933333
1551639600,34316064.283333, 1664484537.3333,442910.91666667,13205655.816667
1551643200,33082555.583333, 1737069248.7,425830.35,13070311.3
1551646800,33893885.966667, 1556729064.5833,411971.85,13000708.533333
1551650400,32248567.066667, 1454660066.8333,403937.91666667,12936850.7
1551654000,33892170.25, 1590330700.5,398573.31666667,13111859.766667
1551657600,33751926.433333, 1571712595.5333,411134.53333333,13183318.516667
1551661200,32694906.1, 1606527528.3,439467.03333333,13009678.95
1551664800,32621190.45, 1540861215.8333,458308.95,12981912.183333
1551668400,34742161.733333, 1747721310.2333,463979.78333333,13246845.366667
1551672000,34199134.133333, 1742025962.5,479156.36666667,13084143.383333
1551675600,34689034.05, 1938155627.4167,497400.41666667,13132469.4
1551679200,35131785.3, 1970665106.6167,509266.48333333,13189705.833333
1551682800,34466172.7, 2054532766.4833,514340.73333333,12936163.616667
1551686400,34083817.183333, 2145700271.8,510234.06666667,12987500.916667
1551690000,34266631.166667, 1915614501.7667,506231.26666667,13077565.016667
1551693600,32872335.266667, 1907034039.55,507709.45,12811542.483333
1551697200,33947661.883333, 2130572161.8333,515107.76666667,12893443.316667
1551700800,35347991.166667, 2070071080.4667,531097.03333333,12970769.45
1551704400,34065743.25, 2043138597.0167,547064.76666667,12883546.083333
1551708000,31763990.916667, 1505123150.1333,558749.03333333,12647179.166667
1551711600,32112411.983333, 1530694755.0833,553125.43333333,12701536.233333
1551715200,29581014.816667, 1418016884.4167,536074.08333333,12330647.55
1551718800,28041917.15, 1347075178.9667,513154.38333333,12051415.566667
1551722400,30087427.983333, 1510227221.2167,490881.66666667,12507205.45
1551726000,29020714.633333, 1322297567.7167,467201.31666667,12303007.033333
1551729600,29401541.566667, 1390422930.4333,446176.83333333,12416866.183333
1551733200,26846488.016667, 1290018049.1667,430482.65,11898415.15
1551736800,28173326.533333, 1314935960.7,421249.86666667,12108087.2
