timestamp, # Bytes,# Packets,# Unique Source IPs,# Unique Destination IPs
1267315200, 165596386.42222,2762842.4145833,337679.42152778,1112683.7020833
1267401600, 163158899.13472,2806657.2729167,329043.74444444,1171486.2895833
1267488000, 157296888.83528,2674505.4018692,307412.26051402,1147833.9182243
1267574400, 161179099.33439,2766805.6942675,342048.44585987,1085381.8726115
1267660800, 161523676.74028,2789113.1534722,335454.29722222,1114030.0631944
1267747200, 165024793.56875,2853846.8756944,336478.65208333,1178671.3569444
1267833600, 167617707.02361,2838791.1826389,341921.88611111,1122879.0986111
1267920000, 163895258.41944,2810813.1986111,334843.23402778,1138164.33125
1268006400, 189172359.07222,3098122.6819444,331049.78611111,1133569.4923611
1268092800, 170234077.43194,2904989.3347222,332215.12569444,1209546.3604167
1268179200, 172471135.88148,2961539.3175926,329073.73796296,1288183.4472222
1268265600, ,,,
1268352000, ,,,
1268438400, ,,,
1268524800, ,,,
1268611200, ,,,
1268697600, ,,,
1268784000, 157071002.32222,2755599.1388889,318508.77777778,1174017.3111111
1268870400, 169946375.94452,2937472.6865994,344681.74063401,1189953.8184438
1268956800, 165747137.38636,2826540.2598485,343178.37954545,1098733.280303
1269043200, 176689271.36094,3054123.8546875,357307.596875,1236711.2671875
1269129600, 172553517.93816,3052176.524109,350173.75786164,1284855.048218
1269216000, ,,,
1269302400, ,,,
1269388800, 182873914.20374,3144765.3675722,377298.47792869,1242703.6281834
1269475200, 181228180.20139,3129894.8784722,364337.99722222,1309972.3166667
1269561600, 181743354.51597,3187915.88125,366796.15972222,1324200.7395833
1269648000, 179305643.5625,2968528.3270833,368580.27013889,1145568.6486111
1269734400, 184292440.87222,3074936.7861111,375017.75763889,1156476.4145833
1269820800, 175294454.85625,2999799.99375,372699.87638889,1155346.5520833
1269907200, 172125704.37292,2910748.9916667,371917.88958333,1062707.8416667
1269993600, 184171691.37153,3021293.7534722,357436.625,1143656.2034722
1270080000, 171205642.87292,2875268.8020833,354245.72083333,1061372.9527778
1270166400, 159811526.98145,2700727.3038869,340478.39929329,1005879.3162544
1270252800, 175137150.85278,2904895.1763889,370082.17847222,1099184.2340278
1270339200, 171632524.66319,2911218.9597222,365373.58680556,1059110.4256944
1270425600, 182122258.27778,3030247.5375,380428.25486111,1103886.8784722
1270512000, 195524099.375,3277018.7534722,380198.46180556,1274125.8055556
1270598400, 182849817.05972,3135341.5104167,392627.80486111,1125210.7576389
1270684800, 188192659.87222,3127476.1493056,379966.25416667,1162669.73125
1270771200, 182444512.37014,3028965.1118056,383227.36597222,1113173.8034722
1270857600, 183410922.21944,3004197.5618056,392108.08680556,1111787.29375
1270944000, 191854286.03472,3146356.2465278,396169.34513889,1179549.3097222
1271030400, 185900810.02273,3094054.4143939,386801.11742424,1149119.4916667
1271116800, 200380105.99307,3399452.401662,425212.42105263,1227001.5567867
1271203200, 180153856.63056,2897889.8340278,368949.82430556,1073407.4069444
1271289600, 173505255.35486,2863817.4319444,365632.82708333,1063961.5381944
1271376000, 172750128.78403,2890669.1305556,377986.98888889,1054033.2319444
1271462400, 181606335.00903,3108346.1340278,393849.42430556,1205087.1513889
1271548800, 178501398.77569,3071743.0333333,395938.45208333,1155939.7048611
1271635200, 152743729.66667,2649762.5747599,340300.03017833,962232.1920439
1271721600, 8463.977443609,160.03383458647,6.9661654135338,74.304511278195
1271808000, 5567.3164556962,103.81012658228,5.746835443038,46.822784810127
1271894400, 181757523.92,2763103.8566667,373848.15666667,992791.69333333
1271980800, 177973180.47222,2924956.7659722,382370.50694444,1062251.8791667
1272067200, 166332218.04722,2734402.58125,321357.60555555,1054511.5430556
1272153600, 175426109.72014,2888153.7236111,362728.63819444,1035431.7548611
1272240000, 168816880.06597,2872639.5923611,348615.97708333,995992.98333333
1272326400, 165875967.31111,2832355.5743056,348695.69791667,1037458.1416667
1272412800, 159581121.17986,2661417.7569445,329276.08888889,993703.36875
1272499200, 155774328.64514,2666223.5472222,312383.61875,1040022.0354167
1272585600, 145649331.72639,2485016.8659722,298850.04027778,959726.76458333
1272672000, 144686069.57986,2396822.4069444,280427.54097222,929949.15486111
1272758400, 139093728.47431,2340915.5833333,270378.63819444,919855.72916667
1272844800, 145226540.29722,2404805.8555556,270012.63888889,978814.66319445
1272931200, 141210472.53611,2387423.2868056,263118.03194445,1009803.5555556
1273017600, 131816497.94583,2311107.7034722,258395.65277778,963405.38055556
1273104000, 135726320.9625,2325567.0277778,254673.18611111,943843.30694444
1273190400, 135119028.07083,2337198.9145833,243007.74930556,1005924.2909722
1273276800, 139061286.34583,2292865.2590278,246214.49791667,981074.02708333
1273363200, 134438881.09861,2287125.0631944,237291.67013889,950806.4625
1273449600, 129386577.32847,2265479.2090278,239766.93680556,979356.40625
1273536000, 134762702.10903,2354006.0145833,243890.50902778,1051027.4854167
1273622400, 134454928.29514,2260898.4944444,236138.59236111,991557.59444445
1273708800, 139686169.42639,2234757.09375,236051.35069444,964056.55555556
1273795200, 128337798.01458,2187700.9145833,236830.64166667,930290.83333333
1273881600, 125942073.34722,2186540.2354167,233546.32916667,941774.53472222
1273968000, 129315673.94583,2250549.2881944,230830.32430556,987800.04722222
1274054400, 128835255.25556,2224293.5395833,226625.77222222,989028.14375
1274140800, 124662182.01181,2166541.5333333,222513.32222222,950180.78819445
1274227200, 122435249.32708,2067776.0125,224180.37986111,907306.53680555
1274313600, 123397527.53472,2091270.2034722,222299.07708333,932374.76527778
1274400000, 119316146.18472,2011683.0305556,202584.93472222,937364.39097222
1274486400, 115403724.40903,1900978.0256944,188534.39791667,895958.60972222
1274572800, 161521963.74444,1982465.6138889,188172.28125,879426.86319444
1274659200, 117538193.69306,2041015.5076389,191000.22569444,966780.59861111
1274745600, 121341080.40417,2031447.7888889,190782.78888889,969309.10277778
1274832000, 126863468.64444,2107997.0652778,187426.34861111,1035023.5715278
1274918400, 127046982.82014,2121791.08125,189525.33263889,1038470.7145833
1275004800, 146879014.56875,2398302.20625,185923.125,1279283.6645833
1275091200, 126412982.45417,2055758.9027778,188829.23263889,968386.825
1275177600, 125041766.00972,2038180.7451389,186462.92222222,984055.24236111
1275264000, 122576994.55417,2100064.7465278,186540.19305556,1017913.8569444
1275350400, 134045719.69931,2028500.4534722,185318.81319444,962886.68333333
1275436800, 248149477.21528,2350534.1263889,186529.57083333,1067910.8972222
1275523200, 221050371.54861,2226651.7465278,190898.77222222,1013755.7680556
1275609600, 149392866.87014,2163490.6958333,186339.83055556,1045492.9527778
1275696000, 173459607.42847,2193761.39375,182113.92847222,1056779.4618056
1275782400, 192200461.69097,2108148.0923611,177638.23888889,987723.28333333
1275868800, 158699618.33889,2199373.7569444,185967.81388889,1028033.3381944
1275955200, 202587444.05,2268036.1694444,192625.22361111,986900.84791667
1276041600, 171392674.41667,2333578.3680555,185187.38611111,1003497.2895833
1276128000, 133941936.89583,2074597.3152778,182645.22708333,980527.06111111
1276214400, 130842658.20556,2058658.6277778,180388.31527778,969370.70555555
1276300800, 117916225.80625,2060065.9493056,171414.25208333,1000184.9618056
1276387200, 123427197.71944,1989896.2354167,171683.08055556,956370.38194444
1276473600, 138964288.70694,2102693.4208333,178634.53055556,1019477.8333333
1276560000, 108757111.5169,1834478.856338,165957.9943662,875199.61549296
1276646400, ,,,
1276732800, ,,,
1276819200, 159467903.48353,2187692.3370708,183864.35669236,1019104.5725298
1276905600, 318413636.90417,2491686.3222222,181752.82986111,1021047.5534722
1276992000, 312198902.54924,2440540.1590909,179713.93030303,988348.48484848
1277078400, 303606854.15487,2633221.8119469,217367.32743363,1136183.4247788
1277164800, 251401403.09405,2308302.9404762,181736.18452381,1020145.7642857
1277251200, 123586700.4812,2094333.4473684,166138.27443609,1010842.0112782
1277337600, 134784068.05069,2332427.2513889,177871.43888889,1130187.9993056
1277424000, 155466816.22361,2430051.6402778,182114.42430556,1161033.0958333
1277510400, 132274795.53958,2120769.2576389,170224.94513889,1056411.4138889
1277596800, 127919998.41042,2059923.2847222,167295.89027778,1011886.7826389
1277683200, 170548191.44306,2375212.6236111,176070.05277778,1066503.7305556
1277769600, 163409401.06667,2451082.2548611,174879.29861111,1144174.8388889
1277856000, 129522955.42153,2191675.6208333,173035.03680556,1092275.7965278
1277942400, 201165463.95556,2445747.8618056,174826.35763889,1191546.4534722
1278028800, 176043847.80208,2889128.4236111,177557.48680556,1611025.6777778
1278115200, 116874401.14792,2027194.5604167,165369.82361111,1000270.0493056
1278201600, 115999913.67847,1948793.5840278,164306.16388889,926773.47847222
1278288000, 113157882.35486,2019045.7388889,173280.11875,960287.30763889
1278374400, 115672627.18333,1996071.7277778,176774.74861111,930975.80138889
1278460800, 116967160.09514,2050056.3131944,176684.89375,984632.43125
1278547200, 126001786.34167,2027902.8597222,169756.1625,1000996.56875
1278633600, 173845539.25347,2095411.0270833,170306.35833333,1079642.3138889
1278720000, 161296100.37431,2003362.1708333,162687.9875,1030081.7986111
1278806400, 167131075.39167,2054731.0715278,163562.025,1053990.2736111
1278892800, 164430178.00139,2090964.4916667,178763.84722222,1044512.1854167
1278979200, 159624774.33819,2114596.9458333,172940.75555556,1090443.40625
1279065600, 152179038.17847,2008320.3493056,174715.46388889,997223.87291667
1279152000, 162183205.76319,2134919.29375,176118.87986111,1085985.7493056
1279238400, 158802058.45347,2103018.8819444,178009.04305556,1020213.3548611
1279324800, 150404614.64861,1995567.4159722,162878.77777778,1036707.7263889
1279411200, 193258747.41736,2212593.8069444,163774.93958333,1191895.9041667
1279497600, 164921194.47083,2092355.3729167,170948.08125,1086088.6569444
1279584000, 159751564.09028,2029247.7340278,175875.88055556,1024451.73125
1279670400, 153660199.37569,1935807.98125,168141.64305556,953070.89583333
1279756800, 189521888.78472,2385906.64375,171195.91805556,1307514.0618056
1279843200, 161155550.00417,1947963.9444444,167810.66041667,960851.14722222
1279929600, 149150178.91944,1866209.74375,158918.00416667,912028.9875
1280016000, ,,,
1280102400, 147084941.57265,1949713.7150997,158745.17378917,989743.02849003
1280188800, 156458248.04722,2084931.2875,173474.31597222,1063210.3819444
1280275200, 152147528.31042,2085375.1013889,186296.26388889,994971.69583333
1280361600, 150418593.26528,2077058.4791667,183451.66458333,1020654.3541667
1280448000, 154562254.92917,2229815.9152778,175422.50972222,1104023.1680556
1280534400, 167745057.46597,2318525.3041667,171020.12638889,1205606.6152778
1280620800, 153888220.4875,1987250.3770833,168762.85416667,981805.72013889
1280707200, 154769023.05972,2075974.9083333,174835.39236111,1034849.8159722
1280793600, 146922481.84375,2026200.0145833,174080.20833333,1001517.4583333
1280880000, 149917523.61667,2035149.7034722,169953.49583333,1001455.9090278
1280966400, 143757082.03403,2062982.7729167,170755.31458333,1045188.0284722
1281052800, 165280796.56806,2403568.91875,168121.42986111,1388881.5736111
1281139200, 147786661.36875,2043122.2104167,165975.95972222,1052156.9784722
1281225600, 144018593.18958,2174867.4277778,162209.31597222,1189765.9361111
1281312000, 149952450.40764,2170116.6583333,177031.43333333,1101722.8215278
1281398400, 152396914.19028,2080593.7902778,177355.29027778,1035095.0638889
1281484800, 139835330.32292,2098117.1555556,172778.87083333,1057670.6388889
1281571200, 139937853.93819,2104372.7777778,167868.20833333,1064911.0902778
1281657600, 140727939.48194,2042841.2409722,172007.70763889,975797.72152778
1281744000, 131256544.55208,1899656.2868056,164063.43680556,925962.13819444
1281830400, 138075266.78472,2008996.9993056,160952.94375,1034633.6854167
1281916800, 160933667.0375,2327195.0229167,171515.98611111,1166986.8069444
1282003200, 175914399.4918,2100249.5693989,174895.64699454,997245.24043716
1282089600, ,,,
1282176000, ,,,
1282262400, ,,,
1282348800, ,,,
1282435200, ,,,
1282521600, 146394444.86599,2219946.484264,187139.18375635,1063770.3451777
1282608000, 146906547.20417,2325497.4305556,171524.50208333,1236971.1840278
1282694400, 140495495.04792,2162475.4048611,173098.65416667,1089325.5173611
1282780800, 129787393.3875,2006783.5444444,171198.31666667,942405.39652778
1282867200, 141819986.03264,2142734.8395833,175209.8875,987691.60972222
1282953600, 133904161.06597,2105369.3743056,163253.24305556,1049838.7006944
1283040000, 142996579.25069,2197726.4881944,163710.47638889,1114974.4486111
1283126400, 143922741.08403,2241360.6020833,172523.24236111,1122854.0847222
1283212800, 144133891.15625,2253863.5923611,170897.03194444,1132854.1166667
1283299200, 141073783.90139,2041140.9166667,164099.89722222,1003704.60625
1283385600, 128066255.66528,1962731.5333333,165796.07361111,930001.61180556
1283472000, 135515522.88403,2013882.2930556,169797.56736111,968775.20208333
1283558400, 140256103.99931,2133875.4381944,167549.83888889,1082951.6104167
1283644800, 136949573.38403,2125063.5659722,161169.37847222,1085350.1930556
1283731200, 136746672.90139,2131998.0319444,158181.22986111,1081360.2833333
